TERRITORIO	TIME_PERIOD	MEDIDAS	OBS_VALUE	ESTADO_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION	NOTAS_OBSERVACION
Las Palmas	01/2024	Personas beneficiarias	48025			
Las Palmas	01/2024	Tasa de cobertura de la prestación de desempleo	59			
Las Palmas	01/2024	Paro resgistrado con experiencia laboral	81365			
Santa Cruz de Tenerife	01/2024	Personas beneficiarias	44558			
Santa Cruz de Tenerife	01/2024	Tasa de cobertura de la prestación de desempleo	59.4			
Santa Cruz de Tenerife	01/2024	Paro resgistrado con experiencia laboral	74988			
Canary Islands	2023	Personas beneficiarias	94589			
Canary Islands	2023	Tasa de cobertura de la prestación de desempleo	58.4			
Canary Islands	2023	Paro resgistrado con experiencia laboral	162051			
Las Palmas	2023	Personas beneficiarias	49210			
Las Palmas	2023	Tasa de cobertura de la prestación de desempleo	58.4			
Las Palmas	2023	Paro resgistrado con experiencia laboral	84284			
Santa Cruz de Tenerife	2023	Personas beneficiarias	45378			
Santa Cruz de Tenerife	2023	Tasa de cobertura de la prestación de desempleo	58.4			
Santa Cruz de Tenerife	2023	Paro resgistrado con experiencia laboral	77766			
Canary Islands	12/2023	Personas beneficiarias	88988			
Canary Islands	12/2023	Tasa de cobertura de la prestación de desempleo	57.8			
Canary Islands	12/2023	Paro resgistrado con experiencia laboral	153929			
Las Palmas	12/2023	Personas beneficiarias	46488			
Las Palmas	12/2023	Tasa de cobertura de la prestación de desempleo	58			
Las Palmas	12/2023	Paro resgistrado con experiencia laboral	80112			
Santa Cruz de Tenerife	12/2023	Personas beneficiarias	42500			
Santa Cruz de Tenerife	12/2023	Tasa de cobertura de la prestación de desempleo	57.6			
Santa Cruz de Tenerife	12/2023	Paro resgistrado con experiencia laboral	73817			
Canary Islands	11/2023	Personas beneficiarias	90226			
Canary Islands	11/2023	Tasa de cobertura de la prestación de desempleo	57.8			
Canary Islands	11/2023	Paro resgistrado con experiencia laboral	156055			
Las Palmas	11/2023	Personas beneficiarias	46952			
Las Palmas	11/2023	Tasa de cobertura de la prestación de desempleo	57.9			
Las Palmas	11/2023	Paro resgistrado con experiencia laboral	81035			
Santa Cruz de Tenerife	11/2023	Personas beneficiarias	43274			
Santa Cruz de Tenerife	11/2023	Tasa de cobertura de la prestación de desempleo	57.7			
Santa Cruz de Tenerife	11/2023	Paro resgistrado con experiencia laboral	75020			
Canary Islands	10/2023	Personas beneficiarias	89853			
Canary Islands	10/2023	Tasa de cobertura de la prestación de desempleo	56.7			
Canary Islands	10/2023	Paro resgistrado con experiencia laboral	158422			
Las Palmas	10/2023	Personas beneficiarias	46914			
Las Palmas	10/2023	Tasa de cobertura de la prestación de desempleo	56.8			
Las Palmas	10/2023	Paro resgistrado con experiencia laboral	82571			
Santa Cruz de Tenerife	10/2023	Personas beneficiarias	42939			
Santa Cruz de Tenerife	10/2023	Tasa de cobertura de la prestación de desempleo	56.6			
Santa Cruz de Tenerife	10/2023	Paro resgistrado con experiencia laboral	75851			
Canary Islands	09/2023	Personas beneficiarias	90072			
Canary Islands	09/2023	Tasa de cobertura de la prestación de desempleo	57.6			
Canary Islands	09/2023	Paro resgistrado con experiencia laboral	156257			
Las Palmas	09/2023	Personas beneficiarias	47024			
Las Palmas	09/2023	Tasa de cobertura de la prestación de desempleo	57.6			
Las Palmas	09/2023	Paro resgistrado con experiencia laboral	81620			
Santa Cruz de Tenerife	09/2023	Personas beneficiarias	43048			
Santa Cruz de Tenerife	09/2023	Tasa de cobertura de la prestación de desempleo	57.7			
Santa Cruz de Tenerife	09/2023	Paro resgistrado con experiencia laboral	74637			
Canary Islands	08/2023	Personas beneficiarias	101612			
Canary Islands	08/2023	Tasa de cobertura de la prestación de desempleo	63.6			
Canary Islands	08/2023	Paro resgistrado con experiencia laboral	159818			
Las Palmas	08/2023	Personas beneficiarias	53647			
Las Palmas	08/2023	Tasa de cobertura de la prestación de desempleo	64.2			
Las Palmas	08/2023	Paro resgistrado con experiencia laboral	83575			
Santa Cruz de Tenerife	08/2023	Personas beneficiarias	47965			
Santa Cruz de Tenerife	08/2023	Tasa de cobertura de la prestación de desempleo	62.9			
Santa Cruz de Tenerife	08/2023	Paro resgistrado con experiencia laboral	76243			
Canary Islands	07/2023	Personas beneficiarias	101067			
Canary Islands	07/2023	Tasa de cobertura de la prestación de desempleo	63.4			
Canary Islands	07/2023	Paro resgistrado con experiencia laboral	159467			
Las Palmas	07/2023	Personas beneficiarias	53047			
Las Palmas	07/2023	Tasa de cobertura de la prestación de desempleo	63.8			
Las Palmas	07/2023	Paro resgistrado con experiencia laboral	83163			
Santa Cruz de Tenerife	07/2023	Personas beneficiarias	48020			
Santa Cruz de Tenerife	07/2023	Tasa de cobertura de la prestación de desempleo	62.9			
Santa Cruz de Tenerife	07/2023	Paro resgistrado con experiencia laboral	76304			
Canary Islands	06/2023	Personas beneficiarias	95954			
Canary Islands	06/2023	Tasa de cobertura de la prestación de desempleo	59.8			
Canary Islands	06/2023	Paro resgistrado con experiencia laboral	160519			
Las Palmas	06/2023	Personas beneficiarias	50666			
Las Palmas	06/2023	Tasa de cobertura de la prestación de desempleo	60.3			
Las Palmas	06/2023	Paro resgistrado con experiencia laboral	84052			
Santa Cruz de Tenerife	06/2023	Personas beneficiarias	45288			
Santa Cruz de Tenerife	06/2023	Tasa de cobertura de la prestación de desempleo	59.2			
Santa Cruz de Tenerife	06/2023	Paro resgistrado con experiencia laboral	76467			
Canary Islands	05/2023	Personas beneficiarias	93559			
Canary Islands	05/2023	Tasa de cobertura de la prestación de desempleo	57.5			
Canary Islands	05/2023	Paro resgistrado con experiencia laboral	162649			
Las Palmas	05/2023	Personas beneficiarias	48953			
Las Palmas	05/2023	Tasa de cobertura de la prestación de desempleo	57.7			
Las Palmas	05/2023	Paro resgistrado con experiencia laboral	84836			
Santa Cruz de Tenerife	05/2023	Personas beneficiarias	44606			
Santa Cruz de Tenerife	05/2023	Tasa de cobertura de la prestación de desempleo	57.3			
Santa Cruz de Tenerife	05/2023	Paro resgistrado con experiencia laboral	77813			
Canary Islands	04/2023	Personas beneficiarias	93915			
Canary Islands	04/2023	Tasa de cobertura de la prestación de desempleo	56.8			
Canary Islands	04/2023	Paro resgistrado con experiencia laboral	165329			
Las Palmas	04/2023	Personas beneficiarias	48744			
Las Palmas	04/2023	Tasa de cobertura de la prestación de desempleo	56.8			
Las Palmas	04/2023	Paro resgistrado con experiencia laboral	85768			
Santa Cruz de Tenerife	04/2023	Personas beneficiarias	45171			
Santa Cruz de Tenerife	04/2023	Tasa de cobertura de la prestación de desempleo	56.8			
Santa Cruz de Tenerife	04/2023	Paro resgistrado con experiencia laboral	79561			
Canary Islands	03/2023	Personas beneficiarias	96175			
Canary Islands	03/2023	Tasa de cobertura de la prestación de desempleo	57.2			
Canary Islands	03/2023	Paro resgistrado con experiencia laboral	168242			
Las Palmas	03/2023	Personas beneficiarias	49379			
Las Palmas	03/2023	Tasa de cobertura de la prestación de desempleo	56.8			
Las Palmas	03/2023	Paro resgistrado con experiencia laboral	86917			
Santa Cruz de Tenerife	03/2023	Personas beneficiarias	46796			
Santa Cruz de Tenerife	03/2023	Tasa de cobertura de la prestación de desempleo	57.5			
Santa Cruz de Tenerife	03/2023	Paro resgistrado con experiencia laboral	81325			
Canary Islands	02/2023	Personas beneficiarias	97208			
Canary Islands	02/2023	Tasa de cobertura de la prestación de desempleo	56.4			
Canary Islands	02/2023	Paro resgistrado con experiencia laboral	172468			
Las Palmas	02/2023	Personas beneficiarias	49552			
Las Palmas	02/2023	Tasa de cobertura de la prestación de desempleo	55.5			
Las Palmas	02/2023	Paro resgistrado con experiencia laboral	89219			
Santa Cruz de Tenerife	02/2023	Personas beneficiarias	47656			
Santa Cruz de Tenerife	02/2023	Tasa de cobertura de la prestación de desempleo	57.2			
Santa Cruz de Tenerife	02/2023	Paro resgistrado con experiencia laboral	83249			
Canary Islands	01/2023	Personas beneficiarias	96444			
Canary Islands	01/2023	Tasa de cobertura de la prestación de desempleo	56.2			
Canary Islands	01/2023	Paro resgistrado con experiencia laboral	171467			
Las Palmas	01/2023	Personas beneficiarias	49161			
Las Palmas	01/2023	Tasa de cobertura de la prestación de desempleo	55.5			
Las Palmas	01/2023	Paro resgistrado con experiencia laboral	88551			
Santa Cruz de Tenerife	01/2023	Personas beneficiarias	47283			
Santa Cruz de Tenerife	01/2023	Tasa de cobertura de la prestación de desempleo	57			
Santa Cruz de Tenerife	01/2023	Paro resgistrado con experiencia laboral	82916			
Canary Islands	2022	Personas beneficiarias	99075			
Canary Islands	2022	Tasa de cobertura de la prestación de desempleo	55.7			
Canary Islands	2022	Paro resgistrado con experiencia laboral	177920			
Las Palmas	2022	Personas beneficiarias	51210			
Las Palmas	2022	Tasa de cobertura de la prestación de desempleo	55.4			
Las Palmas	2022	Paro resgistrado con experiencia laboral	92393			
Santa Cruz de Tenerife	2022	Personas beneficiarias	47865			
Santa Cruz de Tenerife	2022	Tasa de cobertura de la prestación de desempleo	56			
Santa Cruz de Tenerife	2022	Paro resgistrado con experiencia laboral	85527			
Canary Islands	12/2022	Personas beneficiarias	92680			
Canary Islands	12/2022	Tasa de cobertura de la prestación de desempleo	54.3			
Canary Islands	12/2022	Paro resgistrado con experiencia laboral	167365			
Las Palmas	12/2022	Personas beneficiarias	47981			
Las Palmas	12/2022	Tasa de cobertura de la prestación de desempleo	54.2			
Las Palmas	12/2022	Paro resgistrado con experiencia laboral	86568			
Santa Cruz de Tenerife	12/2022	Personas beneficiarias	44699			
Santa Cruz de Tenerife	12/2022	Tasa de cobertura de la prestación de desempleo	54.4			
Santa Cruz de Tenerife	12/2022	Paro resgistrado con experiencia laboral	80797			
Canary Islands	11/2022	Personas beneficiarias	92362			
Canary Islands	11/2022	Tasa de cobertura de la prestación de desempleo	54.3			
Canary Islands	11/2022	Paro resgistrado con experiencia laboral	170097			
Las Palmas	11/2022	Personas beneficiarias	47780			
Las Palmas	11/2022	Tasa de cobertura de la prestación de desempleo	54.2			
Las Palmas	11/2022	Paro resgistrado con experiencia laboral	88133			
Santa Cruz de Tenerife	11/2022	Personas beneficiarias	44582			
Santa Cruz de Tenerife	11/2022	Tasa de cobertura de la prestación de desempleo	54.4			
Santa Cruz de Tenerife	11/2022	Paro resgistrado con experiencia laboral	81964			
Canary Islands	10/2022	Personas beneficiarias	92581			
Canary Islands	10/2022	Tasa de cobertura de la prestación de desempleo	53.9			
Canary Islands	10/2022	Paro resgistrado con experiencia laboral	171917			
Las Palmas	10/2022	Personas beneficiarias	48030			
Las Palmas	10/2022	Tasa de cobertura de la prestación de desempleo	53.8			
Las Palmas	10/2022	Paro resgistrado con experiencia laboral	89265			
Santa Cruz de Tenerife	10/2022	Personas beneficiarias	44551			
Santa Cruz de Tenerife	10/2022	Tasa de cobertura de la prestación de desempleo	53.9			
Santa Cruz de Tenerife	10/2022	Paro resgistrado con experiencia laboral	82652			
Canary Islands	09/2022	Personas beneficiarias	93944			
Canary Islands	09/2022	Tasa de cobertura de la prestación de desempleo	54.1			
Canary Islands	09/2022	Paro resgistrado con experiencia laboral	173498			
Las Palmas	09/2022	Personas beneficiarias	49055			
Las Palmas	09/2022	Tasa de cobertura de la prestación de desempleo	54.2			
Las Palmas	09/2022	Paro resgistrado con experiencia laboral	90556			
Santa Cruz de Tenerife	09/2022	Personas beneficiarias	44889			
Santa Cruz de Tenerife	09/2022	Tasa de cobertura de la prestación de desempleo	54.1			
Santa Cruz de Tenerife	09/2022	Paro resgistrado con experiencia laboral	82942			
Canary Islands	08/2022	Personas beneficiarias	105142			
Canary Islands	08/2022	Tasa de cobertura de la prestación de desempleo	59.8			
Canary Islands	08/2022	Paro resgistrado con experiencia laboral	175738			
Las Palmas	08/2022	Personas beneficiarias	55388			
Las Palmas	08/2022	Tasa de cobertura de la prestación de desempleo	60.3			
Las Palmas	08/2022	Paro resgistrado con experiencia laboral	91850			
Santa Cruz de Tenerife	08/2022	Personas beneficiarias	49754			
Santa Cruz de Tenerife	08/2022	Tasa de cobertura de la prestación de desempleo	59.3			
Santa Cruz de Tenerife	08/2022	Paro resgistrado con experiencia laboral	83888			
Canary Islands	07/2022	Personas beneficiarias	105722			
Canary Islands	07/2022	Tasa de cobertura de la prestación de desempleo	59.8			
Canary Islands	07/2022	Paro resgistrado con experiencia laboral	176723			
Las Palmas	07/2022	Personas beneficiarias	55495			
Las Palmas	07/2022	Tasa de cobertura de la prestación de desempleo	60.2			
Las Palmas	07/2022	Paro resgistrado con experiencia laboral	92230			
Santa Cruz de Tenerife	07/2022	Personas beneficiarias	50227			
Santa Cruz de Tenerife	07/2022	Tasa de cobertura de la prestación de desempleo	59.5			
Santa Cruz de Tenerife	07/2022	Paro resgistrado con experiencia laboral	84493			
Canary Islands	06/2022	Personas beneficiarias	99233			
Canary Islands	06/2022	Tasa de cobertura de la prestación de desempleo	56.7			
Canary Islands	06/2022	Paro resgistrado con experiencia laboral	174880			
Las Palmas	06/2022	Personas beneficiarias	52062			
Las Palmas	06/2022	Tasa de cobertura de la prestación de desempleo	57.2			
Las Palmas	06/2022	Paro resgistrado con experiencia laboral	91057			
Santa Cruz de Tenerife	06/2022	Personas beneficiarias	47171			
Santa Cruz de Tenerife	06/2022	Tasa de cobertura de la prestación de desempleo	56.3			
Santa Cruz de Tenerife	06/2022	Paro resgistrado con experiencia laboral	83823			
Canary Islands	05/2022	Personas beneficiarias	99097			
Canary Islands	05/2022	Tasa de cobertura de la prestación de desempleo	55.6			
Canary Islands	05/2022	Paro resgistrado con experiencia laboral	178118			
Las Palmas	05/2022	Personas beneficiarias	51491			
Las Palmas	05/2022	Tasa de cobertura de la prestación de desempleo	55.8			
Las Palmas	05/2022	Paro resgistrado con experiencia laboral	92249			
Santa Cruz de Tenerife	05/2022	Personas beneficiarias	47606			
Santa Cruz de Tenerife	05/2022	Tasa de cobertura de la prestación de desempleo	55.4			
Santa Cruz de Tenerife	05/2022	Paro resgistrado con experiencia laboral	85869			
Canary Islands	04/2022	Personas beneficiarias	98691			
Canary Islands	04/2022	Tasa de cobertura de la prestación de desempleo	54.2			
Canary Islands	04/2022	Paro resgistrado con experiencia laboral	182182			
Las Palmas	04/2022	Personas beneficiarias	50409			
Las Palmas	04/2022	Tasa de cobertura de la prestación de desempleo	53.5			
Las Palmas	04/2022	Paro resgistrado con experiencia laboral	94277			
Santa Cruz de Tenerife	04/2022	Personas beneficiarias	48282			
Santa Cruz de Tenerife	04/2022	Tasa de cobertura de la prestación de desempleo	54.9			
Santa Cruz de Tenerife	04/2022	Paro resgistrado con experiencia laboral	87905			
Canary Islands	03/2022	Personas beneficiarias	101145			
Canary Islands	03/2022	Tasa de cobertura de la prestación de desempleo	54.6			
Canary Islands	03/2022	Paro resgistrado con experiencia laboral	185117			
Las Palmas	03/2022	Personas beneficiarias	51610			
Las Palmas	03/2022	Tasa de cobertura de la prestación de desempleo	53.8			
Las Palmas	03/2022	Paro resgistrado con experiencia laboral	95993			
Santa Cruz de Tenerife	03/2022	Personas beneficiarias	49535			
Santa Cruz de Tenerife	03/2022	Tasa de cobertura de la prestación de desempleo	55.6			
Santa Cruz de Tenerife	03/2022	Paro resgistrado con experiencia laboral	89124			
Canary Islands	02/2022	Personas beneficiarias	103918			
Canary Islands	02/2022	Tasa de cobertura de la prestación de desempleo	55.1			
Canary Islands	02/2022	Paro resgistrado con experiencia laboral	188626			
Las Palmas	02/2022	Personas beneficiarias	52723			
Las Palmas	02/2022	Tasa de cobertura de la prestación de desempleo	53.9			
Las Palmas	02/2022	Paro resgistrado con experiencia laboral	97864			
Santa Cruz de Tenerife	02/2022	Personas beneficiarias	51195			
Santa Cruz de Tenerife	02/2022	Tasa de cobertura de la prestación de desempleo	56.4			
Santa Cruz de Tenerife	02/2022	Paro resgistrado con experiencia laboral	90762			
Canary Islands	01/2022	Personas beneficiarias	104386			
Canary Islands	01/2022	Tasa de cobertura de la prestación de desempleo	54.7			
Canary Islands	01/2022	Paro resgistrado con experiencia laboral	190779			
Las Palmas	01/2022	Personas beneficiarias	52498			
Las Palmas	01/2022	Tasa de cobertura de la prestación de desempleo	53.2			
Las Palmas	01/2022	Paro resgistrado con experiencia laboral	98675			
Santa Cruz de Tenerife	01/2022	Personas beneficiarias	51888			
Santa Cruz de Tenerife	01/2022	Tasa de cobertura de la prestación de desempleo	56.3			
Santa Cruz de Tenerife	01/2022	Paro resgistrado con experiencia laboral	92104			
Canary Islands	2021	Personas beneficiarias	147342			
Canary Islands	2021	Tasa de cobertura de la prestación de desempleo	64.4			
Canary Islands	2021	Paro resgistrado con experiencia laboral	228762			
Las Palmas	2021	Personas beneficiarias	77443			
Las Palmas	2021	Tasa de cobertura de la prestación de desempleo	65.1			
Las Palmas	2021	Paro resgistrado con experiencia laboral	119051			
Santa Cruz de Tenerife	2021	Personas beneficiarias	69899			
Santa Cruz de Tenerife	2021	Tasa de cobertura de la prestación de desempleo	63.7			
Santa Cruz de Tenerife	2021	Paro resgistrado con experiencia laboral	109711			
Canary Islands	12/2021	Personas beneficiarias	101638			
Canary Islands	12/2021	Tasa de cobertura de la prestación de desempleo	54.7			
Canary Islands	12/2021	Paro resgistrado con experiencia laboral	185924			
Las Palmas	12/2021	Personas beneficiarias	51681			
Las Palmas	12/2021	Tasa de cobertura de la prestación de desempleo	53.8			
Las Palmas	12/2021	Paro resgistrado con experiencia laboral	96011			
Santa Cruz de Tenerife	12/2021	Personas beneficiarias	49957			
Santa Cruz de Tenerife	12/2021	Tasa de cobertura de la prestación de desempleo	55.6			
Santa Cruz de Tenerife	12/2021	Paro resgistrado con experiencia laboral	89913			
Canary Islands	11/2021	Personas beneficiarias	101801			
Canary Islands	11/2021	Tasa de cobertura de la prestación de desempleo	54			
Canary Islands	11/2021	Paro resgistrado con experiencia laboral	188616			
Las Palmas	11/2021	Personas beneficiarias	51120			
Las Palmas	11/2021	Tasa de cobertura de la prestación de desempleo	52.6			
Las Palmas	11/2021	Paro resgistrado con experiencia laboral	97136			
Santa Cruz de Tenerife	11/2021	Personas beneficiarias	50681			
Santa Cruz de Tenerife	11/2021	Tasa de cobertura de la prestación de desempleo	55.4			
Santa Cruz de Tenerife	11/2021	Paro resgistrado con experiencia laboral	91480			
Canary Islands	10/2021	Personas beneficiarias	110718			
Canary Islands	10/2021	Tasa de cobertura de la prestación de desempleo	58			
Canary Islands	10/2021	Paro resgistrado con experiencia laboral	190734			
Las Palmas	10/2021	Personas beneficiarias	55528			
Las Palmas	10/2021	Tasa de cobertura de la prestación de desempleo	56.4			
Las Palmas	10/2021	Paro resgistrado con experiencia laboral	98504			
Santa Cruz de Tenerife	10/2021	Personas beneficiarias	55190			
Santa Cruz de Tenerife	10/2021	Tasa de cobertura de la prestación de desempleo	59.8			
Santa Cruz de Tenerife	10/2021	Paro resgistrado con experiencia laboral	92230			
Canary Islands	09/2021	Personas beneficiarias	122280			
Canary Islands	09/2021	Tasa de cobertura de la prestación de desempleo	62.1			
Canary Islands	09/2021	Paro resgistrado con experiencia laboral	196765			
Las Palmas	09/2021	Personas beneficiarias	63094			
Las Palmas	09/2021	Tasa de cobertura de la prestación de desempleo	61.7			
Las Palmas	09/2021	Paro resgistrado con experiencia laboral	102217			
Santa Cruz de Tenerife	09/2021	Personas beneficiarias	59186			
Santa Cruz de Tenerife	09/2021	Tasa de cobertura de la prestación de desempleo	62.6			
Santa Cruz de Tenerife	09/2021	Paro resgistrado con experiencia laboral	94548			
Canary Islands	08/2021	Personas beneficiarias	141943			
Canary Islands	08/2021	Tasa de cobertura de la prestación de desempleo	65.6			
Canary Islands	08/2021	Paro resgistrado con experiencia laboral	216213			
Las Palmas	08/2021	Personas beneficiarias	74246			
Las Palmas	08/2021	Tasa de cobertura de la prestación de desempleo	66.1			
Las Palmas	08/2021	Paro resgistrado con experiencia laboral	112368			
Santa Cruz de Tenerife	08/2021	Personas beneficiarias	67697			
Santa Cruz de Tenerife	08/2021	Tasa de cobertura de la prestación de desempleo	65.2			
Santa Cruz de Tenerife	08/2021	Paro resgistrado con experiencia laboral	103845			
Canary Islands	07/2021	Personas beneficiarias	151023			
Canary Islands	07/2021	Tasa de cobertura de la prestación de desempleo	64.8			
Canary Islands	07/2021	Paro resgistrado con experiencia laboral	233073			
Las Palmas	07/2021	Personas beneficiarias	78910			
Las Palmas	07/2021	Tasa de cobertura de la prestación de desempleo	65			
Las Palmas	07/2021	Paro resgistrado con experiencia laboral	121355			
Santa Cruz de Tenerife	07/2021	Personas beneficiarias	72113			
Santa Cruz de Tenerife	07/2021	Tasa de cobertura de la prestación de desempleo	64.6			
Santa Cruz de Tenerife	07/2021	Paro resgistrado con experiencia laboral	111718			
Canary Islands	06/2021	Personas beneficiarias	156505			
Canary Islands	06/2021	Tasa de cobertura de la prestación de desempleo	62.5			
Canary Islands	06/2021	Paro resgistrado con experiencia laboral	250390			
Las Palmas	06/2021	Personas beneficiarias	83100			
Las Palmas	06/2021	Tasa de cobertura de la prestación de desempleo	63.4			
Las Palmas	06/2021	Paro resgistrado con experiencia laboral	131167			
Santa Cruz de Tenerife	06/2021	Personas beneficiarias	73405			
Santa Cruz de Tenerife	06/2021	Tasa de cobertura de la prestación de desempleo	61.6			
Santa Cruz de Tenerife	06/2021	Paro resgistrado con experiencia laboral	119223			
Canary Islands	05/2021	Personas beneficiarias	166997			
Canary Islands	05/2021	Tasa de cobertura de la prestación de desempleo	65.9			
Canary Islands	05/2021	Paro resgistrado con experiencia laboral	253411			
Las Palmas	05/2021	Personas beneficiarias	89748			
Las Palmas	05/2021	Tasa de cobertura de la prestación de desempleo	67.6			
Las Palmas	05/2021	Paro resgistrado con experiencia laboral	132777			
Santa Cruz de Tenerife	05/2021	Personas beneficiarias	77249			
Santa Cruz de Tenerife	05/2021	Tasa de cobertura de la prestación de desempleo	64			
Santa Cruz de Tenerife	05/2021	Paro resgistrado con experiencia laboral	120634			
Canary Islands	04/2021	Personas beneficiarias	172006			
Canary Islands	04/2021	Tasa de cobertura de la prestación de desempleo	66.7			
Canary Islands	04/2021	Paro resgistrado con experiencia laboral	257848			
Las Palmas	04/2021	Personas beneficiarias	92249			
Las Palmas	04/2021	Tasa de cobertura de la prestación de desempleo	68.3			
Las Palmas	04/2021	Paro resgistrado con experiencia laboral	135155			
Santa Cruz de Tenerife	04/2021	Personas beneficiarias	79757			
Santa Cruz de Tenerife	04/2021	Tasa de cobertura de la prestación de desempleo	65			
Santa Cruz de Tenerife	04/2021	Paro resgistrado con experiencia laboral	122693			
Canary Islands	03/2021	Personas beneficiarias	176607			
Canary Islands	03/2021	Tasa de cobertura de la prestación de desempleo	68.8			
Canary Islands	03/2021	Paro resgistrado con experiencia laboral	256778			
Las Palmas	03/2021	Personas beneficiarias	94564			
Las Palmas	03/2021	Tasa de cobertura de la prestación de desempleo	70.4			
Las Palmas	03/2021	Paro resgistrado con experiencia laboral	134234			
Santa Cruz de Tenerife	03/2021	Personas beneficiarias	82043			
Santa Cruz de Tenerife	03/2021	Tasa de cobertura de la prestación de desempleo	66.9			
Santa Cruz de Tenerife	03/2021	Paro resgistrado con experiencia laboral	122544			
